Delta,Theta,Alpha,Beta,Gamma,Emotion
276507.1051076138,38327.48264171562,23806.016719761537,93755.29632,26663.877249546622,Relaxed
610215.0596032025,30847.73521806445,16576.292629871474,70287.84020473824,21083.273110091297,Relaxed
863654.2955561739,76497.69207,25893.91806,93614.35755,55571.00428350459,Relaxed
3275380.5135227656,144850.41628362192,72428.85957813472,177712.11524404358,37143.18828434374,Relaxed
254772.48675283563,24602.733400381712,10631.713160335757,50877.47832,42102.05075675646,Relaxed
1707528.9988587569,479256.42525954725,64809.460210542355,163779.2653646568,39495.831801776476,Relaxed
11812967.024038825,372931.2185255741,89970.10603840591,124628.61384444739,36845.07986264882,Relaxed
2260404.8448039973,140202.97591703795,69923.24822,89185.40691257725,25036.821455724978,Relaxed
730786.5831799034,80922.67959014767,36310.41776872247,62933.46508,20249.309421145612,Relaxed
1440874.1803180273,35371.661828424476,15535.569189724296,78915.03406633878,24327.752995650997,Relaxed
3153960.9285975555,189332.65126089973,130099.19060647419,261393.12934725816,44919.61776174172,Relaxed
10824810.88296351,388246.36567187257,253861.17253698173,941960.6967694651,104083.35652076115,Sad
1403073.2679257202,297802.4293632688,143265.13954346898,1064851.320401062,101234.38823957334,Sad
1102706671.9454954,3538050869.6742735,7922487649.150593,2351032025.014018,344236932.9857391,Sad
1711514646.6425858,3140834609.1274085,7576910153.127018,2743977764.852814,333795833.8671826,Sad
950039819.3252414,2521831941.2681093,8242038700.657244,2975718772.2066193,294972847.8613908,Sad
1348609856.000059,2388077406.3565946,7291734902,3164418951,278406965.8,Sad
2095744853.5383391,2811153517.8802543,7751155140.814587,2772819646.153656,300275153.3,Sad
2732490273.937949,2928918723.5869846,11063873956.53292,1930538263.3770163,300124837.2588112,Sad
2283320431.5936007,4629704001.9297495,6843100320.2957325,2533479991.5953517,330854341.1587541,Sad
2743218035.895689,4804920681,7690347256.353264,2300994254.967656,324216854.8435719,Sad
1749340751.8807712,3983337220.137687,8985645339,2208272167.5873485,319921266.33751655,Sad
513035.0555397384,126571.87529990995,317060.90682922833,1223957.6509342792,129923.48700494689,Sad
1985139010.9103088,4132047526.9581685,10027367830.433012,2167844447.281803,295301643.26610696,Sad
